Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Gender,Age,Claim
C2B,Airlines,Online,Bronze Plan,32,SINGAPORE,62.0,15.5,F,45,No
C2B,Airlines,Online,Gold Plan,13,SINGAPORE,59.5,14.88,M,26,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,35.5,8.88,F,25,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,28.5,7.13,M,31,No
C2B,Airlines,Online,Annual Silver Plan,373,SINGAPORE,252.85,63.21,M,33,No
C2B,Airlines,Online,Silver Plan,16,SINGAPORE,18.5,4.63,F,27,No
JZI,Airlines,Online,Basic Plan,50,HONG KONG,26.0,9.1,F,31,No
TST,Travel Agency,Offline,Travel Cruise Protect,74,MALAYSIA,30.0,10.5,M,69,No
JZI,Airlines,Online,Basic Plan,18,CHINA,22.0,7.7,M,29,No
JZI,Airlines,Online,Value Plan,12,JAPAN,45.0,15.75,M,37,No
JZI,Airlines,Online,Basic Plan,32,INDONESIA,33.0,11.55,M,23,No
C2B,Airlines,Online,Gold Plan,2,SINGAPORE,27.95,6.99,F,43,No
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,216.0,54.0,F,36,No
JZI,Airlines,Online,Basic Plan,2,MALAYSIA,18.0,6.3,F,33,No
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,18.0,4.5,F,34,No
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,33.5,8.38,F,28,No
TST,Travel Agency,Offline,Travel Cruise Protect,71,THAILAND,30.0,10.5,F,25,No
RAB,Airlines,Online,Value Plan,63,BRUNEI DARUSSALAM,15.0,6.0,F,56,No
C2B,Airlines,Online,Annual Silver Plan,382,SINGAPORE,252.85,63.21,M,29,No
JZI,Airlines,Online,Value Plan,44,FRANCE,109.0,38.15,F,58,No
KML,Travel Agency,Online,Value Plan,35,NORWAY,95.0,36.1,F,48,No
C2B,Airlines,Online,Bronze Plan,20,SINGAPORE,20.0,5.0,M,35,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,17.55,4.39,M,67,No
JWT,Airlines,Online,Value Plan,18,INDIA,0.0,28.8,M,118,No
JZI,Airlines,Online,Basic Plan,31,THAILAND,22.0,7.7,F,23,No
C2B,Airlines,Online,Bronze Plan,28,SINGAPORE,56.5,14.13,F,24,Yes
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,16.0,4.0,F,58,No
TST,Travel Agency,Offline,Travel Cruise Protect,81,MALAYSIA,30.0,10.5,F,47,No
C2B,Airlines,Online,Annual Silver Plan,381,SINGAPORE,259.2,64.8,F,30,No
C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,23.4,5.85,F,33,No
C2B,Airlines,Online,Silver Plan,21,SINGAPORE,34.8,8.7,F,35,No
C2B,Airlines,Online,Bronze Plan,32,SINGAPORE,124.0,31.0,F,31,No
C2B,Airlines,Online,Silver Plan,35,SINGAPORE,22.5,5.63,M,41,No
C2B,Airlines,Online,Silver Plan,28,SINGAPORE,41.0,10.25,F,52,No
C2B,Airlines,Online,Gold Plan,5,SINGAPORE,42.5,10.63,M,35,No
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,252.85,63.21,M,28,No
KML,Travel Agency,Online,Premier Plan,11,PORTUGAL,111.0,42.18,M,48,No
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,40.0,10.0,F,31,No
JZI,Airlines,Online,Basic Plan,24,AUSTRALIA,35.0,12.25,M,57,No
ART,Airlines,Online,24 Protect,3,SINGAPORE,13.0,4.55,M,48,No
CCR,Travel Agency,Offline,Premier Plan,176,THAILAND,58.0,19.14,M,72,No
C2B,Airlines,Online,Bronze Plan,24,SINGAPORE,44.5,11.13,M,26,No
C2B,Airlines,Online,Gold Plan,12,SINGAPORE,49.0,12.25,M,23,No
CSR,Travel Agency,Offline,Comprehensive Plan,228,THAILAND,29.0,9.57,F,66,No
JWT,Airlines,Online,Value Plan,146,INDIA,420.0,168.0,F,118,No
JZI,Airlines,Online,Basic Plan,20,THAILAND,18.0,6.3,M,30,No
ART,Airlines,Online,24 Protect,18,PHILIPPINES,4.98,1.74,M,48,No
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,78.0,19.5,F,33,No
JZI,Airlines,Online,Basic Plan,34,THAILAND,47.0,16.45,M,63,No
JZI,Airlines,Online,Basic Plan,44,THAILAND,30.0,10.5,M,56,No
C2B,Airlines,Online,Annual Silver Plan,457,SINGAPORE,252.85,63.21,F,51,No
TST,Travel Agency,Offline,Travel Cruise Protect,112,MALAYSIA,30.0,10.5,F,60,No
JWT,Airlines,Online,Value Plan,38,INDIA,80.0,32.0,M,118,No
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,41.0,10.25,F,26,Yes
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,46.15,11.54,M,39,No
C2B,Airlines,Online,Silver Plan,63,SINGAPORE,137.0,34.25,F,28,No
RAB,Airlines,Online,Value Plan,4,BRUNEI DARUSSALAM,15.0,6.0,F,55,No
JZI,Airlines,Online,Basic Plan,1,MALAYSIA,18.0,6.3,F,27,No
RAB,Airlines,Online,Value Plan,16,BRUNEI DARUSSALAM,15.0,6.0,M,42,No
C2B,Airlines,Online,Silver Plan,16,SINGAPORE,72.0,18.0,F,29,No
JZI,Airlines,Online,Basic Plan,52,INDONESIA,22.0,7.7,M,54,No
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,13.5,3.38,M,31,No
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,13.5,3.38,F,37,No
C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,29.5,7.38,F,30,No
TST,Travel Agency,Offline,Travel Cruise Protect,8,MALAYSIA,30.0,10.5,F,56,No
C2B,Airlines,Online,Bronze Plan,66,SINGAPORE,20.25,5.06,M,27,No
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,9,SRI LANKA,26.0,16.9,M,28,No
JWT,Airlines,Online,Value Plan,20,INDIA,39.0,15.6,M,118,No
C2B,Airlines,Online,Annual Silver Plan,405,SINGAPORE,161.0,40.25,M,47,No
JZI,Airlines,Online,Basic Plan,109,INDONESIA,22.0,7.7,M,46,No
C2B,Airlines,Online,Silver Plan,19,SINGAPORE,62.0,15.5,M,29,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,16.0,4.0,M,34,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,21.0,5.25,F,24,No
JZI,Airlines,Online,Basic Plan,14,CHINA,22.0,7.7,M,49,No
JZI,Airlines,Online,Value Plan,81,"KOREA, REPUBLIC OF",45.0,15.75,F,23,No
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,M,26,No
ART,Airlines,Online,24 Protect,5,HONG KONG,56.15,19.65,F,48,No
C2B,Airlines,Online,Silver Plan,25,SINGAPORE,78.5,19.63,M,28,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,53.0,13.25,M,45,No
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,24.05,6.01,M,66,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,47.0,11.75,F,28,No
C2B,Airlines,Online,Bronze Plan,28,SINGAPORE,34.5,8.63,M,57,No
C2B,Airlines,Online,Silver Plan,86,SINGAPORE,109.0,27.25,F,47,No
CCR,Travel Agency,Offline,Comprehensive Plan,9,THAILAND,29.0,9.57,F,61,No
KML,Travel Agency,Online,Value Plan,17,INDONESIA,28.0,10.64,F,48,Yes
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,23.5,5.88,F,25,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,23.5,5.88,F,22,Yes
JZI,Airlines,Online,Basic Plan,7,MALAYSIA,22.0,7.7,M,40,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,20.0,5.0,F,33,No
JZI,Airlines,Online,Basic Plan,45,MYANMAR,47.0,16.45,F,35,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,27.0,6.75,F,30,No
C2B,Airlines,Online,Annual Silver Plan,401,SINGAPORE,216.0,54.0,F,33,No
C2B,Airlines,Online,Gold Plan,3,SINGAPORE,51.0,12.75,M,28,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,61.1,15.28,F,34,No
C2B,Airlines,Online,Silver Plan,30,SINGAPORE,78.5,19.63,F,50,No
C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,27.0,6.75,M,39,No
JWT,Airlines,Online,Value Plan,10,INDIA,39.0,15.6,F,118,No
C2B,Airlines,Online,Silver Plan,35,SINGAPORE,25.0,6.25,F,21,No
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,3,VIET NAM,25.0,16.25,M,31,No
JZI,Airlines,Online,Basic Plan,7,THAILAND,18.0,6.3,M,49,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,17.55,4.39,M,43,No
KML,Travel Agency,Online,Premier Plan,84,BRAZIL,147.0,55.86,F,61,No
ART,Airlines,Online,24 Protect,1,PHILIPPINES,3.74,1.31,M,48,No
C2B,Airlines,Online,Silver Plan,9,SINGAPORE,22.5,5.63,M,32,Yes
JZI,Airlines,Online,Value Plan,4,AUSTRALIA,45.0,15.75,M,40,No
C2B,Airlines,Online,Silver Plan,3,SINGAPORE,15.0,3.75,F,44,Yes
JZI,Airlines,Online,Basic Plan,5,VIET NAM,22.0,7.7,F,62,No
JZI,Airlines,Online,Basic Plan,52,INDONESIA,33.0,11.55,F,26,No
JZI,Airlines,Online,Basic Plan,74,HONG KONG,26.0,9.1,M,59,No
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,5,PHILIPPINES,25.0,16.25,F,38,No
C2B,Airlines,Online,Bronze Plan,86,SINGAPORE,198.0,49.5,F,26,No
C2B,Airlines,Online,Bronze Plan,28,SINGAPORE,39.0,9.75,M,67,No
JZI,Airlines,Online,Basic Plan,9,CHINA,22.0,7.7,M,55,No
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,29.5,7.38,M,21,No
C2B,Airlines,Online,Silver Plan,9,SINGAPORE,47.5,11.88,F,38,No
JZI,Airlines,Online,Basic Plan,15,INDONESIA,22.0,7.7,M,29,No
C2B,Airlines,Online,Bronze Plan,39,SINGAPORE,40.0,10.0,F,27,No
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,14.95,3.74,F,43,No
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,13.5,3.38,M,27,No
C2B,Airlines,Online,Bronze Plan,79,SINGAPORE,178.0,44.5,F,29,Yes
C2B,Airlines,Online,Silver Plan,25,SINGAPORE,88.5,22.13,F,35,No
JZI,Airlines,Online,Basic Plan,6,THAILAND,22.0,7.7,M,26,No
C2B,Airlines,Online,Annual Silver Plan,367,SINGAPORE,252.85,63.21,F,42,No
C2B,Airlines,Online,Silver Plan,31,SINGAPORE,49.0,12.25,F,42,No
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,161.0,40.25,M,41,No
JZI,Airlines,Online,Basic Plan,24,PHILIPPINES,22.0,7.7,M,55,No
C2B,Airlines,Online,Silver Plan,20,SINGAPORE,86.4,21.6,F,27,No
ART,Airlines,Online,24 Protect,31,SINGAPORE,73.2,25.62,M,48,No
JZI,Airlines,Online,Basic Plan,1,CHINA,22.0,7.7,F,50,No
JZI,Airlines,Online,Basic Plan,50,PHILIPPINES,22.0,7.7,M,41,No
C2B,Airlines,Online,Annual Silver Plan,378,SINGAPORE,216.0,54.0,F,39,No
C2B,Airlines,Online,Silver Plan,11,SINGAPORE,33.5,8.38,F,32,No
LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,100,UNITED STATES,67.0,43.55,M,46,No
C2B,Airlines,Online,Silver Plan,17,SINGAPORE,63.5,15.88,F,27,No
C2B,Airlines,Online,Bronze Plan,177,SINGAPORE,34.5,8.63,M,64,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,33.5,8.38,F,36,No
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,13.5,3.38,M,36,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,16.0,4.0,M,25,No
C2B,Airlines,Online,Silver Plan,2,SINGAPORE,18.5,4.63,F,37,Yes
JZI,Airlines,Online,Value Plan,18,UNITED STATES,121.0,42.35,M,35,No
JZI,Airlines,Online,Basic Plan,16,HONG KONG,35.0,12.25,M,47,No
C2B,Airlines,Online,Bronze Plan,92,SINGAPORE,23.4,5.85,F,38,No
JZI,Airlines,Online,Basic Plan,75,THAILAND,22.0,7.7,M,36,No
JZI,Airlines,Online,Basic Plan,13,THAILAND,22.0,7.7,M,48,No
JZI,Airlines,Online,Basic Plan,108,PHILIPPINES,37.0,12.95,F,49,No
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,7,INDONESIA,25.0,16.25,M,37,No
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,216.0,54.0,M,39,No
C2B,Airlines,Online,Bronze Plan,68,SINGAPORE,0.0,10.32,F,29,No
C2B,Airlines,Online,Silver Plan,22,SINGAPORE,48.5,12.13,F,25,No
TST,Travel Agency,Offline,Travel Cruise Protect,31,MALAYSIA,30.0,10.5,F,45,No
JZI,Airlines,Online,Basic Plan,5,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,F,70,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,19.2,4.8,M,32,No
JZI,Airlines,Online,Basic Plan,15,CHINA,44.0,15.4,F,45,No
CBH,Travel Agency,Offline,Comprehensive Plan,85,THAILAND,29.0,9.57,F,76,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,29.9,7.47,F,26,No
JZI,Airlines,Online,Basic Plan,40,"TAIWAN, PROVINCE OF CHINA",35.0,12.25,M,55,No
JZI,Airlines,Online,Basic Plan,53,SRI LANKA,50.0,17.5,F,34,No
C2B,Airlines,Online,Silver Plan,14,SINGAPORE,29.5,7.38,F,37,No
JZI,Airlines,Online,Basic Plan,7,THAILAND,22.0,7.7,M,57,No
ART,Airlines,Online,24 Protect,39,PHILIPPINES,3.1,1.08,M,48,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,67.0,16.75,F,40,No
JZI,Airlines,Online,Basic Plan,149,PHILIPPINES,37.0,12.95,F,33,No
JZI,Airlines,Online,Basic Plan,6,CHINA,26.0,9.1,F,34,No
JZI,Airlines,Online,Basic Plan,15,THAILAND,22.0,7.7,M,44,No
JZI,Airlines,Online,Basic Plan,12,CHINA,26.0,9.1,M,52,No
JZI,Airlines,Online,Basic Plan,34,PHILIPPINES,37.0,12.95,M,51,No
RAB,Airlines,Online,Value Plan,5,BRUNEI DARUSSALAM,15.0,6.0,M,43,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,18.0,4.5,M,37,No
JZI,Airlines,Online,Basic Plan,48,CHINA,40.0,14.0,F,50,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,23.5,5.88,F,35,No
JZI,Airlines,Online,Basic Plan,1,THAILAND,18.0,6.3,M,73,No
C2B,Airlines,Online,Bronze Plan,54,SINGAPORE,21.0,5.25,M,27,No
C2B,Airlines,Online,Annual Silver Plan,368,SINGAPORE,216.0,54.0,M,46,No
C2B,Airlines,Online,Annual Silver Plan,382,SINGAPORE,216.0,54.0,M,34,Yes
JZI,Airlines,Online,Basic Plan,10,VIET NAM,22.0,7.7,M,55,No
JZI,Airlines,Online,Basic Plan,3,VIET NAM,18.0,6.3,M,33,No
C2B,Airlines,Online,Annual Silver Plan,435,SINGAPORE,161.0,40.25,F,31,No
JZI,Airlines,Online,Basic Plan,14,CHINA,35.0,12.25,M,52,No
JZI,Airlines,Online,Basic Plan,32,PHILIPPINES,52.0,18.2,F,28,No
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,23.0,5.75,F,30,No
JZI,Airlines,Online,Basic Plan,53,NEPAL,55.0,19.25,F,64,No
JZI,Airlines,Online,Basic Plan,15,HONG KONG,26.0,9.1,M,45,No
JZI,Airlines,Online,Basic Plan,9,PHILIPPINES,18.0,6.3,M,40,No
JZI,Airlines,Online,Basic Plan,8,CHINA,26.0,9.1,M,58,No
C2B,Airlines,Online,Silver Plan,11,SINGAPORE,18.5,4.63,M,68,No
CCR,Travel Agency,Offline,Comprehensive Plan,4,THAILAND,29.0,9.57,F,31,No
JZI,Airlines,Online,Basic Plan,11,CHINA,35.0,12.25,F,51,No
JZI,Airlines,Online,Value Plan,41,CAMBODIA,39.0,13.65,M,41,No
JZI,Airlines,Online,Basic Plan,27,PHILIPPINES,30.0,10.5,M,47,No
C2B,Airlines,Online,Bronze Plan,20,SINGAPORE,32.9,8.22,F,35,No
RAB,Airlines,Online,Value Plan,28,BRUNEI DARUSSALAM,15.0,6.0,M,61,No
TTW,Travel Agency,Offline,Individual Comprehensive Plan,388,SINGAPORE,97.0,0.0,F,40,No
JZI,Airlines,Online,Basic Plan,4,INDONESIA,18.0,6.3,F,38,No
KML,Travel Agency,Online,Value Plan,50,GERMANY,-75.0,28.5,F,48,No
JZI,Airlines,Online,Basic Plan,3,VIET NAM,18.0,6.3,M,38,No
JZI,Airlines,Online,Basic Plan,9,CHINA,26.0,9.1,F,49,No
JZI,Airlines,Online,Basic Plan,18,JAPAN,26.0,9.1,M,25,No
C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,40.0,10.0,M,37,No
JZI,Airlines,Online,Value Plan,9,"TAIWAN, PROVINCE OF CHINA",45.0,15.75,M,75,No
JZI,Airlines,Online,Basic Plan,48,INDONESIA,42.0,14.7,F,40,No
TTW,Travel Agency,Offline,Individual Comprehensive Plan,365,SINGAPORE,97.0,0.0,M,31,No
CSR,Travel Agency,Offline,Comprehensive Plan,237,MALAYSIA,29.0,9.57,F,70,No
LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,2,INDONESIA,26.5,17.23,M,25,No
TST,Travel Agency,Offline,Travel Cruise Protect,21,THAILAND,30.0,10.5,M,72,No
ART,Airlines,Online,24 Protect,25,PHILIPPINES,31.71,11.1,M,48,No
C2B,Airlines,Online,Annual Silver Plan,372,SINGAPORE,216.0,54.0,M,33,No
JZI,Airlines,Online,Basic Plan,7,MALAYSIA,18.0,6.3,M,73,No
C2B,Airlines,Online,Bronze Plan,41,SINGAPORE,56.5,14.13,F,24,No
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,16.0,4.0,F,28,No
JZI,Airlines,Online,Basic Plan,16,MALAYSIA,22.0,7.7,M,44,No
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,33,AUSTRIA,85.0,55.25,F,36,No
JZI,Airlines,Online,Basic Plan,22,HONG KONG,26.0,9.1,M,41,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,20.0,5.0,M,21,No
C2B,Airlines,Online,Annual Silver Plan,374,SINGAPORE,291.75,72.94,M,53,Yes
JZI,Airlines,Online,Basic Plan,123,CHINA,35.0,12.25,M,25,No
C2B,Airlines,Online,Silver Plan,32,SINGAPORE,55.5,13.88,M,22,No
JZI,Airlines,Online,Basic Plan,6,INDONESIA,18.0,6.3,M,38,No
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,15.0,3.75,F,60,No
JZI,Airlines,Online,Basic Plan,5,THAILAND,18.0,6.3,M,50,No
C2B,Airlines,Online,Bronze Plan,64,SINGAPORE,53.25,13.31,F,47,No
JWT,Airlines,Online,Value Plan,16,INDIA,39.0,15.6,F,118,No
C2B,Airlines,Online,Bronze Plan,22,SINGAPORE,34.5,8.63,F,27,No
JZI,Airlines,Online,Basic Plan,241,PHILIPPINES,37.0,12.95,F,43,No
CCR,Travel Agency,Offline,Comprehensive Plan,5,THAILAND,29.0,9.57,M,39,No
C2B,Airlines,Online,Bronze Plan,69,SINGAPORE,30.55,7.64,F,31,No
JZI,Airlines,Online,Basic Plan,14,PHILIPPINES,22.0,7.7,F,40,No
KML,Travel Agency,Online,Value Plan,5,INDONESIA,28.0,10.64,M,48,No
JZI,Airlines,Online,Basic Plan,29,CHINA,22.0,7.7,F,29,No
JZI,Airlines,Online,Basic Plan,12,CHINA,35.0,12.25,F,49,No
JZI,Airlines,Online,Basic Plan,51,CHINA,0.0,22.05,F,18,No
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,252.85,63.21,F,30,No
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,161.0,40.25,F,38,No
C2B,Airlines,Online,Silver Plan,25,SINGAPORE,47.5,11.88,F,32,No
RAB,Airlines,Online,Value Plan,10,BRUNEI DARUSSALAM,15.0,6.0,M,45,No
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,57.0,14.25,M,31,No
C2B,Airlines,Online,Annual Gold Plan,371,SINGAPORE,287.4,71.85,F,71,No
JZI,Airlines,Online,Basic Plan,174,THAILAND,-22.0,7.7,F,36,No
JZI,Airlines,Online,Value Plan,7,AUSTRALIA,45.0,15.75,M,37,No
C2B,Airlines,Online,Silver Plan,138,SINGAPORE,112.5,28.13,F,32,No
JZI,Airlines,Online,Basic Plan,202,CHINA,44.0,15.4,M,53,No
C2B,Airlines,Online,Annual Silver Plan,381,SINGAPORE,187.85,46.96,M,28,No
C2B,Airlines,Online,Bronze Plan,26,SINGAPORE,54.0,13.5,M,24,No
C2B,Airlines,Online,Gold Plan,76,SINGAPORE,27.0,6.75,M,82,No
JZI,Airlines,Online,Value Plan,7,THAILAND,33.0,11.55,M,49,Yes
JZI,Airlines,Online,Basic Plan,4,AUSTRALIA,22.0,7.7,F,31,No
TST,Travel Agency,Offline,Travel Cruise Protect,16,MALAYSIA,30.0,10.5,M,56,No
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,25.0,6.25,F,34,No
RAB,Airlines,Online,Value Plan,3,BRUNEI DARUSSALAM,15.0,6.0,M,47,No
JZI,Airlines,Online,Basic Plan,28,INDONESIA,30.0,10.5,F,46,No
C2B,Airlines,Online,Silver Plan,8,SINGAPORE,22.5,5.63,M,41,No
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,39.0,9.75,M,55,No
TST,Travel Agency,Offline,Travel Cruise Protect,112,MALAYSIA,30.0,10.5,M,64,No
JZI,Airlines,Online,Basic Plan,26,CHINA,40.0,14.0,F,46,No
KML,Travel Agency,Online,Premier Plan,60,PORTUGAL,72.0,27.36,F,48,No
C2B,Airlines,Online,Silver Plan,90,SINGAPORE,39.0,9.75,F,27,Yes
C2B,Airlines,Online,Silver Plan,28,SINGAPORE,50.4,12.6,F,42,No
C2B,Airlines,Online,Bronze Plan,31,SINGAPORE,51.0,12.75,M,62,No
JZI,Airlines,Online,Basic Plan,47,PHILIPPINES,30.0,10.5,F,44,No
C2B,Airlines,Online,Silver Plan,24,SINGAPORE,81.5,20.38,F,31,No
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,252.85,63.21,F,41,Yes
JWT,Airlines,Online,Value Plan,131,INDIA,100.0,40.0,M,118,No
RAB,Airlines,Online,Value Plan,3,BRUNEI DARUSSALAM,15.0,6.0,F,61,No
JZI,Airlines,Online,Basic Plan,52,INDONESIA,22.0,7.7,F,51,No
C2B,Airlines,Online,Gold Plan,255,SINGAPORE,124.2,31.05,F,59,No
JZI,Airlines,Online,Basic Plan,12,PHILIPPINES,22.0,7.7,F,47,No
JZI,Airlines,Online,Basic Plan,5,CHINA,26.0,9.1,M,50,No
JZI,Airlines,Online,Basic Plan,7,CHINA,26.0,9.1,M,49,No
C2B,Airlines,Online,Annual Gold Plan,367,SINGAPORE,389.35,97.34,F,28,Yes
C2B,Airlines,Online,Silver Plan,22,SINGAPORE,22.5,5.63,M,24,No
C2B,Airlines,Online,Bronze Plan,24,SINGAPORE,60.0,15.0,F,25,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,23.4,5.85,M,36,No
JZI,Airlines,Online,Basic Plan,7,"TAIWAN, PROVINCE OF CHINA",35.0,12.25,F,18,No
JZI,Airlines,Online,Basic Plan,49,PHILIPPINES,33.0,11.55,F,35,No
C2B,Airlines,Online,Silver Plan,12,SINGAPORE,32.5,8.13,M,22,No
C2B,Airlines,Online,Silver Plan,20,SINGAPORE,72.0,18.0,F,27,No
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,16.2,4.05,F,44,No
JZI,Airlines,Online,Basic Plan,14,MALAYSIA,22.0,7.7,M,40,No
TST,Travel Agency,Offline,Travel Cruise Protect,4,THAILAND,30.0,10.5,M,69,No
JZI,Airlines,Online,Basic Plan,12,CHINA,22.0,7.7,M,49,No
CCR,Travel Agency,Offline,Comprehensive Plan,36,THAILAND,29.0,9.57,F,118,No
C2B,Airlines,Online,Silver Plan,29,SINGAPORE,54.5,13.63,F,33,No
JZI,Airlines,Online,Basic Plan,72,INDONESIA,33.0,11.55,F,38,No
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,40.0,10.0,F,43,No
JZI,Airlines,Online,Basic Plan,47,THAILAND,0.0,10.5,F,43,No
C2B,Airlines,Online,Bronze Plan,39,SINGAPORE,53.0,13.25,F,32,No
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,43.55,10.89,M,26,No
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,32.4,8.1,M,63,No
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,48.5,12.13,M,31,No
C2B,Airlines,Online,Annual Gold Plan,366,SINGAPORE,389.35,97.34,M,47,Yes
LWC,Travel Agency,Online,Annual Travel Protect Gold,529,UNITED STATES,256.0,166.4,M,41,No
JZI,Airlines,Online,Basic Plan,5,CHINA,22.0,7.7,M,53,No
JZI,Airlines,Online,Basic Plan,42,PHILIPPINES,18.0,6.3,M,36,No
C2B,Airlines,Online,Silver Plan,12,SINGAPORE,18.5,4.63,F,36,Yes
RAB,Airlines,Online,Value Plan,18,BRUNEI DARUSSALAM,15.0,6.0,M,47,No
TST,Travel Agency,Offline,Travel Cruise Protect,29,THAILAND,30.0,10.5,F,69,No
JZI,Airlines,Online,Basic Plan,166,CHINA,40.0,14.0,F,26,No
JZI,Airlines,Online,Basic Plan,126,CHINA,26.0,9.1,M,37,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,27.0,6.75,M,39,No
JZI,Airlines,Online,Basic Plan,32,MALAYSIA,22.0,7.7,M,63,No
TST,Travel Agency,Offline,Travel Cruise Protect,40,THAILAND,30.0,10.5,F,30,No
C2B,Airlines,Online,Annual Silver Plan,367,SINGAPORE,161.0,40.25,M,29,No
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,11.5,2.88,M,27,No
JZI,Airlines,Online,Basic Plan,13,CHINA,26.0,9.1,F,45,No
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,252.85,63.21,F,24,No
C2B,Airlines,Online,Bronze Plan,37,SINGAPORE,47.0,11.75,F,38,No
JZI,Airlines,Online,Basic Plan,41,PHILIPPINES,42.0,14.7,F,49,No
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,16.0,4.0,M,61,No
TST,Travel Agency,Offline,Travel Cruise Protect,21,THAILAND,30.0,10.5,M,32,No
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,22.1,5.53,M,26,Yes
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,3,VIET NAM,25.0,16.25,F,50,No
JZI,Airlines,Online,Basic Plan,39,CHINA,22.0,7.7,F,41,No
KML,Travel Agency,Online,Value Plan,20,INDONESIA,22.0,8.36,F,48,No
JZI,Airlines,Online,Basic Plan,59,THAILAND,22.0,7.7,F,44,No
C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,15.0,3.75,F,26,No
JZI,Airlines,Online,Basic Plan,48,"KOREA, REPUBLIC OF",44.0,15.4,M,26,No
CCR,Travel Agency,Offline,Comprehensive Plan,30,THAILAND,29.0,9.57,F,67,No
